Name,Height(m),Number floors,Year of completion,Latitude,Longitude
セントラルパークタワー・ラ・トゥール新宿,167,44,2010,35.6922115,139.6886292
芝浦アイランド ブルームタワー,167,48,2008,35.6398525,139.7519061
大阪ベイタワー プリオタワー,167,50,1993,34.6697382,135.4597118
キャピタルマークタワー,167,47,2007,35.640988,139.7466417
シティタワーズ豊洲ザ・ツイン サウスタワー,167,48,2009,35.6572393,139.7994809
シティタワーズ豊洲ザ・ツイン ノースタワー,167,48,2009,35.65890855,139.79755005
パークコート赤坂檜町ザ タワー,166,44,2018,35.6682483,139.7296774
アーバンビューグランドタワー,166,43,2004,34.3993196,132.4645551
東京ツインパークス レフトウイング,165,47,2002,35.6609637,139.75986625
東京ツインパークス ライトウイング,165,47,2002,35.6606442,139.75970175
晴海アイランド トリトンスクエア ビュータワー,165,50,1998,35.6580333,139.7831356
シティタワー大阪本町,165,48,2021,34.6847321,135.5049501
中目黒アトラスタワー,164,45,2009,35.6438396,139.7004238
ザ･千里タワー,164,50,2009,34.8112794,135.4944821
スカイアークス（岐阜シティ・タワー43）,163,43,2007,35.4107503,136.7541761
パークシティ武蔵小杉ステーションフォレストタワー,163,47,2008,35.5753033,139.6613916
赤坂タワーレジデンス トップオブザヒル,162,45,2008,35.6698122,139.7384585
ザ・ライオンズ ミッドキャピタルタワー,162,47,2009,35.1349819,136.909849
シティタワーグラン天王寺,162,43,2007,34.6438255,135.5176094
リエトコート武蔵小杉ザ・クラッシータワー,162,45,2008,35.5721613,139.6610727
リエトコート武蔵小杉イーストタワー,161,45,2008,35.5725271,139.6620304
津田沼 ザ・タワー,161,44,2020,35.6889055,140.01836375
阿波座ライズタワーズ フラッグ46（OMPタワー）,161,46,2016,34.6816924,135.4837749
OSAKA福島タワー,160,45,2011,34.6928934,135.4814136
I-linkタウンいちかわ ザ タワーズウエスト プレミアレジデンス,160,45,2009,35.7288405,139.9071414
ザ・コスギタワー,160,49,2008,35.5716571,139.6622288
芝浦アイランド　ケープタワー,160,48,2006,35.6373851,139.7502778
ザ・シーン城北 アストロタワー,160,45,1996,35.2164793,136.9126538
ブリリアイストタワー勝どき,160,45,2011,35.6608469,139.7769477
コンシェリア西新宿 タワーズウエスト,160,44,2008,35.6925176,139.6874171
トルナーレ日本橋浜町,160,47,2005,35.6848033,139.7880053
六本木ヒルズレジデンスB棟,159,43,2003,35.65612945,139.7288746
六本木ヒルズレジデンスC棟,159,43,2003,35.658894,139.7301459
プラウドタワー武蔵小杉,159,45,2015,35.5764145,139.6565683
パークタワー東雲,159,43,2014,35.6452578,139.8026376
ブリリアタワー東京,159,45,2006,35.7004608,139.8161493
パークタワー新川崎,158,46,2016,35.5506746,139.6736889
サザンスカイタワー八王子,158,41,2010,35.6546901,139.3374479
パークコート赤坂 ザ・タワー,157,43,2009,35.673449,139.7314337
愛宕グリーンヒルズ フォレストタワー,157,42,2001,35.6628706,139.74892285
ザ・なんばタワー レジデンス・イン・なんばパークス,156,46,2007,34.6607811,135.5012571
シティタワー大阪天満 ザ･リバー＆パークス,156,45,2010,34.7078549,135.5162833
ジオタワー天六,156,44,2013,34.7122525,135.5122177
クロスエアタワー,155,42,2012,35.6515564,139.6883456
プラザタワー勝どき,155,43,2004,35.6605601,139.7755118
ザ・豊洲タワー,155,43,2008,35.6591843,139.7974143
スカイズ タワー＆ガーデン,155,44,2015,35.6472205,139.7930694
高輪ザ・レジデンス ,154,47,2005,35.6359452,139.7323322
虎ノ門タワーズ レジデンス,153,41,2006,35.6655822,139.7443698
Ｗコンフォートタワーズ ウエスト,153,45,2005,35.6453785,139.8038364
シティタワーズ豊洲 ザ・シンボル,153,44,2009,35.6599903,139.7962908
ステーションガーデンタワー,153,40,2008,35.7294888,139.7714379
パークタワーグランスカイ,153,44,2010,35.62403555,139.72738685
グランドメゾン池下ザ・タワー,153,42,2014,35.1678703,136.9475
淀屋橋アップルタワーレジデンス,152,46,2007,34.6893876,135.5033192
センターマークスタワー,152,46,2019,33.6636104,130.416447
D'グラフォート神戸三宮タワー,152,43,2011,34.6905686,135.1970582
ザ・ファインタワー梅田豊崎,152,45,2019,34.7100885,135.4966514
千葉セントラルタワー,152,43,2009,35.6078826,140.1211152
ジークレフ新神戸タワー,151,42,2009,34.7059417,135.1970582
D'グラフォート大阪N.Y.タワー HIGOBASHI,151,46,2008,34.6899435,135.4969693
ザ・ファインタワー大手前,151,42,2021,34.6871404,135.5168727
エアライズタワー,150,42,2006,35.72656485,139.7191533
グランドメゾン御園座タワー,150,40,2017,35.1669886,136.8969201
二子玉川ライズ タワー＆レジデンス タワーイースト,150,42,2010,35.6088889,139.631103
